,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,9,8,201,188,2,2/15,2/15,94.00,5.61,100.5,0,0,0
T20Is,9,6,126,191,5,2/32,2/32,38.20,9.09,25.2,0,0,0
First-class,41,52,3065,1630,32,4/52,5/89,50.93,3.19,95.7,2,0,0
List A,67,57,1816,1529,45,4/34,4/34,33.97,5.05,40.3,1,0,0
T20s,66,39,519,774,19,2/12,2/12,40.73,8.94,27.3,0,0,0
