,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,2,3,282,159,4,3/36,3/94,39.75,3.38,70.5,0,0,0
ODIs,111,107,5279,3747,118,4/30,4/30,31.75,4.25,44.7,2,0,0
T20Is,68,68,1432,1705,69,4/10,4/10,24.71,7.14,20.7,3,0,0
First-class,34,55,4584,2083,90,6/33,8/85,23.14,2.72,50.9,4,3,0
List A,146,142,7080,4987,166,5/12,5/12,30.04,4.22,42.6,3,1,0
T20s,208,205,4172,4803,221,4/10,4/10,21.73,6.90,18.8,7,0,0
