,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,74,19,342,269,4,2/45,2/45,67.25,4.71,85.5,0,0,0
ODIs,106,1,6,8,0,-,-,-,8.00,-,0,0,0
T20Is,70,-,-,-,-,-,-,-,-,-,-,-,-
First-class,102,34,595,455,6,2/45,2/45,75.83,4.58,99.1,0,0,0
List A,151,8,144,158,4,1/11,1/11,39.50,6.58,36.0,0,0,0
T20s,262,1,6,13,0,-,-,-,13.00,-,0,0,0
