,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,57,50,1490,1365,33,3/49,3/49,41.36,5.49,45.1,0,0,0
T20Is,22,17,305,438,13,2/22,2/22,33.69,8.61,23.4,0,0,0
First-class,92,,13012,6309,196,6/40,,32.18,2.90,66.3,5,14,2
List A,191,,5902,5055,119,5/52,5/52,42.47,5.13,49.5,2,2,0
T20s,260,138,2171,2780,96,4/10,4/10,28.95,7.68,22.6,2,0,0
