,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,7,7,354,324,7,3/35,3/35,46.28,5.49,50.5,0,0,0
T20Is,17,17,372,502,25,4/8,4/8,20.08,8.09,14.8,1,0,0
First-class,4,8,720,347,13,3/50,6/103,26.69,2.89,55.3,0,0,0
List A,21,21,1110,1008,25,4/37,4/37,40.32,5.44,44.4,1,0,0
T20s,51,51,1130,1485,62,4/8,4/8,23.95,7.88,18.2,1,0,0
