,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
T20Is,2,2,42,73,1,1/39,1/39,73.00,10.42,42.0,0,0,0
First-class,42,73,8775,4229,162,7/25,10/82,26.10,2.89,54.1,10,9,1
List A,36,36,1837,1471,60,5/31,5/31,24.51,4.80,30.6,0,2,0
T20s,102,102,2225,2794,119,4/20,4/20,23.47,7.53,18.6,2,0,0
