,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,15,25,2748,1407,46,5/41,8/84,30.58,3.07,59.7,2,2,0
List A,4,4,183,141,4,2/42,2/42,35.25,4.62,45.7,0,0,0
T20s,11,11,178,256,6,2/26,2/26,42.66,8.62,29.6,0,0,0
