,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,45,2,18,14,0,-,-,-,4.66,-,0,0,0
List A,76,-,-,-,-,-,-,-,-,-,-,-,-
T20s,89,-,-,-,-,-,-,-,-,-,-,-,-
