,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,2,4,0,112,69,28.00,234,47.86,0,1,15,0,0,0
ODIs,9,9,0,268,67,29.77,409,65.52,0,2,31,1,5,0
T20Is,9,8,0,72,30,9.00,81,88.88,0,0,9,0,2,0
First-class,191,329,23,11098,227,36.26,19719,56.28,27,55,,,78,0
List A,151,145,16,4668,150*,36.18,6091,76.63,8,23,,,52,0
T20s,202,195,16,5033,127,28.11,4123,122.07,4,30,532,140,80,0
