,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,6,6,0,51,26,8.50,161,31.67,0,0,6,0,3,0
ODIs,44,18,10,100,19,12.50,171,58.47,0,0,8,0,5,0
T20Is,18,2,1,20,16,20.00,20,100.00,0,0,2,0,7,0
First-class,30,38,4,846,117,24.88,1938,43.65,1,6,107,6,13,0
List A,54,25,12,149,25,11.46,255,58.43,0,0,11,0,7,0
T20s,86,17,10,104,17*,14.85,109,95.41,0,0,10,0,24,0
