,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,1,-,-,-,-,-,-,-,-,-,-,-,-
List A,23,-,-,-,-,-,-,-,-,-,-,-,-
T20s,39,-,-,-,-,-,-,-,-,-,-,-,-
