,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,4,-,-,-,-,-,-,-,-,-,-,-,-
T20Is,18,-,-,-,-,-,-,-,-,-,-,-,-
First-class,41,8,84,64,0,-,-,-,4.57,-,0,0,0
List A,50,7,69,45,1,1/3,1/3,45.00,3.91,69.0,0,0,0
T20s,152,7,78,93,3,2/15,2/15,31.00,7.15,26.0,0,0,0
