,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,46,1,2,0,0,-,-,-,0.00,-,0,0,0
T20Is,13,-,-,-,-,-,-,-,-,-,-,-,-
First-class,136,,739,470,12,3/26,5/67,39.16,3.81,61.5,0,0,0
List A,189,,272,266,5,2/19,2/19,53.20,5.86,54.4,0,0,0
T20s,244,1,6,11,0,-,-,-,11.00,-,0,0,0
