,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,10,10,455,432,11,4/55,4/55,39.27,5.69,41.3,1,0,0
T20Is,2,2,48,55,3,2/26,2/26,18.33,6.87,16.0,0,0,0
First-class,103,175,16909,9472,310,6/25,9/136,30.55,3.36,54.5,13,8,0
List A,92,90,3874,3784,113,5/24,5/24,33.48,5.86,34.2,4,3,0
T20s,124,120,2585,3325,145,4/17,4/17,22.93,7.71,17.8,2,0,0
