,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,27,27,1400,1310,46,5/45,5/45,28.47,5.61,30.4,1,1,0
T20Is,5,5,114,135,10,3/21,3/21,13.50,7.10,11.4,0,0,0
First-class,41,66,6520,3674,149,7/34,12/78,24.65,3.38,43.7,5,11,1
List A,55,55,2790,2531,95,6/27,6/27,26.64,5.44,29.3,3,2,0
T20s,46,46,936,1175,43,4/26,4/26,27.32,7.53,21.7,1,0,0
