,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,55,91,9570,4915,156,6/38,8/144,31.50,3.08,61.3,9,4,0
List A,46,46,2050,1987,70,5/18,5/18,28.38,5.81,29.2,4,2,0
T20s,29,29,541,745,29,3/22,3/22,25.68,8.26,18.6,0,0,0
