,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,1,2,138,104,1,1/73,1/104,104.00,4.52,138.0,0,0,0
ODIs,52,51,2176,2128,65,4/35,4/35,32.73,5.86,33.4,5,0,0
T20Is,47,40,595,908,25,2/10,2/10,36.32,9.15,23.8,0,0,0
First-class,17,31,2083,1104,54,5/36,9/78,20.44,3.18,38.5,4,3,0
List A,89,86,3663,3317,126,6/28,6/28,26.32,5.43,29.0,5,4,0
T20s,290,270,4950,6758,264,4/11,4/11,25.59,8.19,18.7,7,0,0
