,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,2,-,-,-,-,-,-,-,-,-,-,-,-
First-class,9,1,6,4,0,-,-,-,4.00,-,0,0,0
List A,38,1,6,4,0,-,-,-,4.00,-,0,0,0
T20s,21,-,-,-,-,-,-,-,-,-,-,-,-
