,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,4,4,189,150,8,3/57,3/57,18.75,4.76,23.6,0,0,0
First-class,47,82,7839,4167,162,6/44,9/98,25.72,3.18,48.3,11,5,0
List A,33,32,1650,1220,52,4/46,4/46,23.46,4.43,31.7,1,0,0
T20s,12,12,242,261,19,4/19,4/19,13.73,6.47,12.7,2,0,0
