,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,6,11,1015,451,20,5/49,6/102,22.55,2.66,50.7,0,1,0
List A,33,33,1479,1330,50,6/33,6/33,26.60,5.39,29.5,4,1,0
T20s,20,20,439,609,20,4/30,4/30,30.45,8.32,21.9,1,0,0
