,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,30,24,901,459,10,2/1,4/34,45.90,3.05,90.1,0,0,0
List A,39,29,718,577,18,2/9,2/9,32.05,4.82,39.8,0,0,0
T20s,75,26,238,297,12,2/10,2/10,24.75,7.48,19.8,0,0,0
