,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,3,6,492,270,7,4/69,4/133,38.57,3.29,70.2,1,0,0
ODIs,25,25,1312,1117,32,4/23,4/23,34.90,5.10,41.0,2,0,0
T20Is,7,7,138,151,4,2/13,2/13,37.75,6.56,34.5,0,0,0
First-class,131,228,26122,14296,438,6/46,11/170,32.63,3.28,59.6,22,23,3
List A,131,127,6487,5363,208,6/46,6/46,25.78,4.96,31.1,7,3,0
T20s,221,220,4575,5677,235,4/17,4/17,24.15,7.44,19.4,3,0,0
