,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,3,3,60,68,0,-,-,-,6.80,-,0,0,0
First-class,49,64,3515,1841,41,5/38,9/52,44.90,3.14,85.7,3,1,0
List A,77,38,1151,917,26,5/29,5/29,35.26,4.78,44.2,0,1,0
T20s,84,15,168,212,6,2/15,2/15,35.33,7.57,28.0,0,0,0
