,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,9,16,2,710,114,50.71,1110,63.96,2,4,64,29,3,0
List A,18,12,3,248,41,27.55,239,103.76,0,0,12,14,7,0
T20s,18,17,5,218,37*,18.16,154,141.55,0,0,16,12,5,0
