,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,3,3,1,13,8,6.50,13,100.00,0,0,2,0,1,0
First-class,49,73,6,2942,201*,43.91,3707,79.36,6,18,393,32,23,0
List A,77,71,13,2703,108,46.60,3053,88.53,3,21,266,43,28,0
T20s,84,72,12,1288,93*,21.46,1056,121.96,0,5,141,36,39,3
