,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,1,-,-,-,-,-,-,-,-,-,-,-,1,0
T20Is,7,1,1,0,0*,-,0,-,0,0,0,0,2,0
First-class,12,17,0,532,159,31.29,1014,52.46,1,2,59,8,6,0
List A,21,15,1,162,26*,11.57,221,73.30,0,0,9,4,10,0
T20s,40,27,9,405,53,22.50,342,118.42,0,1,35,12,13,0
