,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,30,37,13,275,64,11.45,619,44.42,0,1,36,6,7,0
ODIs,218,113,35,550,56,7.05,727,75.65,0,1,43,21,31,0
T20Is,73,25,8,92,27,5.41,114,80.70,0,0,6,3,20,0
First-class,84,101,41,585,64,9.75,1446,40.45,0,1,,,24,0
List A,281,148,43,723,56,6.88,,,0,1,,,40,0
T20s,274,84,35,382,37*,7.79,367,104.08,0,0,28,19,52,0
