,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,49,87,4,3592,150,43.27,6627,54.20,8,22,437,51,22,0
List A,31,26,4,1022,129,46.45,1118,91.41,4,3,84,29,9,0
T20s,32,27,5,558,82,25.36,472,118.22,0,3,51,18,12,0
