,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,11,18,1,532,108,31.29,720,73.88,1,4,68,12,7,0
ODIs,45,29,4,731,83,29.24,627,116.58,0,4,48,36,19,0
T20Is,38,24,6,296,33*,16.44,192,154.16,0,0,17,19,23,0
First-class,29,46,1,1351,108,30.02,2382,56.71,1,10,167,24,14,0
List A,66,47,9,1065,83,28.02,1019,104.51,0,6,68,45,28,0
T20s,122,101,31,1832,86*,26.17,1365,134.21,0,6,120,101,70,0
