,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,103,145,23,2224,115,18.22,3432,64.80,2,9,277,42,42,0
ODIs,236,128,35,1237,49,13.30,1526,81.06,0,0,92,35,71,0
T20Is,28,13,5,108,21,13.50,87,124.13,0,0,11,4,7,0
First-class,198,268,46,4255,115,19.16,,,2,15,,,100,0
List A,334,194,54,2134,79*,15.24,,,0,2,,,112,0
T20s,258,152,50,1507,78,14.77,1171,128.69,0,2,141,73,82,0
