,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,56,-,-,-,-,-,-,-,-,-,-,-,-
ODIs,90,-,-,-,-,-,-,-,-,-,-,-,-
T20Is,20,-,-,-,-,-,-,-,-,-,-,-,-
First-class,125,9,108,75,0,-,-,-,4.16,-,0,0,0
List A,167,2,42,43,3,2/36,2/36,14.33,6.14,14.0,0,0,0
T20s,187,1,6,5,1,1/5,1/5,5.00,5.00,6.0,0,0,0
