,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,23,27,1704,905,28,5/51,5/51,32.32,3.18,60.8,1,1,0
List A,19,15,354,315,7,2/15,2/15,45.00,5.33,50.5,0,0,0
T20s,26,18,217,274,4,2/31,2/31,68.50,7.57,54.2,0,0,0
