,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
T20Is,1,-,-,-,-,-,-,-,-,-,-,-,-
First-class,53,1,6,7,0,-,-,-,7.00,-,0,0,0
List A,78,-,-,-,-,-,-,-,-,-,-,-,-
T20s,133,1,3,4,1,1/4,1/4,4.00,8.00,3.0,0,0,0
