,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,6,11,1,163,35,16.30,307,53.09,0,0,18,0,6,0
List A,18,16,6,460,91*,46.00,373,123.32,0,3,42,18,9,0
T20s,36,28,12,445,59*,27.81,285,156.14,0,1,44,19,13,0
