,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,22,32,2,648,84,21.60,1103,58.74,0,4,79,3,8,0
ODIs,36,11,3,43,14,5.37,82,52.43,0,0,4,0,5,0
T20Is,10,1,0,0,0,0.00,0,-,0,0,0,0,1,0
First-class,152,220,28,4176,202*,21.75,,,1,17,,,77,0
List A,144,94,24,829,55,11.84,,,0,1,,,39,0
T20s,208,92,38,724,49,13.40,747,96.92,0,0,68,7,36,0
