,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,61,76,37,562,52*,14.41,1063,52.86,0,1,56,25,36,0
ODIs,79,35,20,144,21*,9.60,190,75.78,0,0,13,6,23,0
T20Is,25,7,3,14,5,3.50,24,58.33,0,0,0,0,12,0
First-class,94,116,47,970,61,14.05,1912,50.73,0,2,105,39,51,0
List A,108,49,25,199,21*,8.29,269,73.97,0,0,17,6,33,0
T20s,89,19,11,36,5*,4.50,59,61.01,0,0,0,0,40,0
