,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,31,29,3,843,124,32.42,1024,82.32,3,3,82,10,12,0
T20Is,9,9,1,210,78,26.25,162,129.62,0,1,23,7,2,0
First-class,111,195,17,6641,190,37.30,,,14,30,,,75,0
List A,186,178,18,7584,142,47.40,8414,90.13,18,48,,,65,0
T20s,229,224,32,5922,127*,30.84,4213,140.56,4,36,522,277,77,0
