,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,34,58,1,2315,190,40.61,3458,66.94,7,5,316,12,28,0
ODIs,128,127,7,5355,143,44.62,5709,93.79,16,27,666,67,61,0
T20Is,50,49,3,1310,92,28.47,1004,130.47,0,9,144,42,17,0
First-class,121,200,10,8338,224,43.88,,,24,29,,,120,0
List A,242,240,20,10043,248,45.65,,,28,51,,,123,0
T20s,230,228,25,6518,95*,32.10,5284,123.35,0,49,738,150,98,0
