,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,6,5,1,40,15,10.00,69,57.97,0,0,2,0,1,0
T20Is,5,3,3,6,4*,-,7,85.71,0,0,0,0,0,0
List A,27,16,6,76,15,7.60,185,41.08,0,0,4,0,9,0
T20s,37,11,10,21,6*,21.00,30,70.00,0,0,0,0,5,0
