,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,4,7,0,167,56,23.85,458,36.46,0,1,19,1,1,0
First-class,70,109,13,5759,302*,59.98,11773,48.91,17,27,633,39,68,1
List A,68,66,8,2762,169,47.62,3290,83.95,4,18,267,36,22,0
T20s,73,72,7,1309,81,20.13,1174,111.49,0,4,118,27,29,2
