,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,2,3,1,237,134,118.50,252,94.04,1,1,34,1,2,0
First-class,17,31,2,1767,188,60.93,2242,78.81,8,8,246,13,13,0
List A,25,25,0,1014,132,40.56,871,116.41,3,6,141,24,5,0
T20s,21,21,0,509,99,24.23,325,156.61,0,4,57,25,5,0
