,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,37,52,9,507,34,11.79,1168,43.40,0,0,70,4,21,0
ODIs,66,24,10,201,26,14.35,263,76.42,0,0,16,4,19,0
T20Is,19,4,2,5,5*,2.50,12,41.66,0,0,0,0,2,0
First-class,55,71,12,708,48*,12.00,1556,45.50,0,0,99,7,26,0
List A,84,34,13,250,26,11.90,335,74.62,0,0,22,4,23,0
T20s,60,19,7,115,44,9.58,120,95.83,0,0,12,2,10,0
