,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,43,66,3,2160,161,34.28,3877,55.71,6,6,299,11,84,22
List A,36,35,1,818,173*,24.05,988,82.79,1,3,83,19,35,10
T20s,36,34,3,736,68,23.74,666,110.51,0,6,82,16,22,10
