,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,3,1,1,1,1*,-,48,2.08,0,0,0,0,1,0
List A,8,6,2,33,12*,8.25,47,70.21,0,0,2,1,2,0
T20s,38,13,3,75,34*,7.50,91,82.41,0,0,3,2,10,0
