,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,6,7,1,374,303*,62.33,506,73.91,1,0,41,4,6,0
ODIs,2,2,0,46,39,23.00,88,52.27,0,0,6,0,0,0
First-class,69,110,11,4761,328,48.09,9002,52.88,13,19,600,22,57,0
List A,69,68,12,1887,120,33.69,2301,82.00,2,12,199,29,25,0
T20s,115,106,11,2415,111,25.42,1838,131.39,2,13,238,80,44,0
