,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,1,1,60,65,1,1/65,1/65,65.00,6.50,60.0,0,0,0
T20Is,7,7,168,169,10,3/22,3/22,16.90,6.03,16.8,0,0,0
First-class,12,20,1740,808,30,6/87,11/181,26.93,2.78,58.0,1,2,1
List A,21,20,920,670,15,2/20,2/20,44.66,4.36,61.3,0,0,0
T20s,40,39,810,915,38,3/16,3/16,24.07,6.77,21.3,0,0,0
