,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,58,102,10694,6438,177,6/53,10/112,36.37,3.61,60.4,11,5,1
ODIs,92,86,4216,3668,78,4/46,4/46,47.02,5.22,54.0,1,0,0
T20Is,25,22,362,519,15,2/21,2/21,34.60,8.60,24.1,0,0,0
First-class,190,,23091,13569,357,6/29,12/96,38.00,3.52,64.6,15,12,2
List A,209,175,7327,6551,153,4/33,4/33,42.81,5.36,47.8,2,0,0
T20s,132,108,1895,2427,86,5/34,5/34,28.22,7.68,22.0,0,1,0
