,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,41,80,6659,3983,119,6/88,10/133,33.47,3.58,55.9,5,2,1
ODIs,75,73,3558,3565,106,4/31,4/31,33.63,6.01,33.5,4,0,0
T20Is,7,7,150,219,9,2/19,2/19,24.33,8.76,16.6,0,0,0
First-class,81,148,13945,7765,264,7/48,12/79,29.41,3.34,52.8,11,13,2
List A,118,116,5682,5451,164,5/26,5/26,33.23,5.75,34.6,4,1,0
T20s,139,137,2888,3950,142,5/18,5/18,27.81,8.20,20.3,2,1,0
