,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,25,-,-,-,-,-,-,-,-,-,-,-,-
ODIs,38,-,-,-,-,-,-,-,-,-,-,-,-
T20Is,2,-,-,-,-,-,-,-,-,-,-,-,-
First-class,186,,91,64,0,-,-,-,4.21,-,0,0,0
List A,180,-,-,-,-,-,-,-,-,-,-,-,-
T20s,192,-,-,-,-,-,-,-,-,-,-,-,-
