,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,49,26,654,402,4,1/24,1/24,100.50,3.68,163.5,0,0,0
List A,31,11,240,201,6,2/16,2/16,33.50,5.02,40.0,0,0,0
T20s,32,18,246,295,13,3/23,3/23,22.69,7.19,18.9,0,0,0
