,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,4,8,627,367,11,3/30,4/68,33.36,3.51,57.0,0,0,0
ODIs,1,1,24,8,1,1/8,1/8,8.00,2.00,24.0,0,0,0
First-class,57,86,8944,4864,145,7/64,13/154,33.54,3.26,61.6,6,6,1
List A,48,46,2166,1416,44,3/21,3/21,32.18,3.92,49.2,0,0,0
T20s,42,38,736,726,23,3/10,3/10,31.56,5.91,32.0,0,0,0
