,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
T20Is,1,1,24,31,0,-,-,-,7.75,-,0,0,0
First-class,7,13,1562,723,34,6/84,7/178,21.26,2.77,45.9,2,3,0
List A,22,22,1193,899,45,4/38,4/38,19.97,4.52,26.5,2,0,0
T20s,21,21,408,553,21,4/23,4/23,26.33,8.13,19.4,1,0,0
