,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
T20Is,11,11,264,364,11,4/36,4/36,33.09,8.27,24.0,1,0,0
First-class,3,5,285,133,8,4/40,6/59,16.62,2.80,35.6,1,0,0
List A,47,45,2088,1722,52,6/41,6/41,33.11,4.94,40.1,2,1,0
T20s,78,75,1422,1723,64,4/36,4/36,26.92,7.27,22.2,1,0,0
