,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,1,1,108,40,2,2/40,2/40,20.00,2.22,54.0,0,0,0
ODIs,51,24,546,472,7,2/10,2/10,67.42,5.18,78.0,0,0,0
T20Is,52,12,118,186,4,1/12,1/12,46.50,9.45,29.5,0,0,0
First-class,48,56,3518,1596,58,4/36,5/73,27.51,2.72,60.6,1,0,0
List A,123,61,1496,1360,22,3/45,3/45,61.81,5.45,68.0,0,0,0
T20s,216,55,554,857,29,4/15,4/15,29.55,9.28,19.1,1,0,0
