,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,111,184,18193,8438,298,8/45,16/154,28.31,2.78,61.0,10,17,5
List A,85,75,3695,2768,96,4/31,4/31,28.83,4.49,38.4,3,0,0
T20s,48,40,719,844,41,5/16,5/16,20.58,7.04,17.5,1,1,0
