,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,6,1,6,2,0,-,-,-,2.00,-,0,0,0
T20Is,6,-,-,-,-,-,-,-,-,-,-,-,-
First-class,54,24,565,401,4,2/29,2/29,100.25,4.25,141.2,0,0,0
List A,70,13,151,151,4,1/2,1/2,37.75,6.00,37.7,0,0,0
T20s,88,-,-,-,-,-,-,-,-,-,-,-,-
