,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,6,10,516,354,8,3/109,3/144,44.25,4.11,64.5,0,0,0
List A,18,18,827,632,26,3/27,3/27,24.30,4.58,31.8,0,0,0
T20s,34,31,512,607,24,3/18,3/18,25.29,7.11,21.3,0,0,0
