,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,2,-,-,-,-,-,-,-,-,-,-,-,-
First-class,17,3,18,18,0,-,-,-,6.00,-,0,0,0
List A,25,-,-,-,-,-,-,-,-,-,-,-,-
T20s,21,-,-,-,-,-,-,-,-,-,-,-,-
