,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,55,96,9107,4573,174,8/34,11/96,26.28,3.01,52.3,8,8,3
List A,49,48,2194,1961,70,5/21,5/21,28.01,5.36,31.3,1,1,0
T20s,78,76,1580,2090,76,3/28,3/28,27.50,7.93,20.7,0,0,0
