,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,38,35,1908,1409,45,3/34,3/34,31.31,4.43,42.4,0,0,0
T20Is,11,11,234,265,9,3/17,3/17,29.44,6.79,26.0,0,0,0
First-class,32,55,7105,3019,107,7/54,9/92,28.21,2.54,66.4,4,5,0
List A,107,102,5563,3964,144,6/43,6/43,27.52,4.27,38.6,3,1,0
T20s,115,114,2440,2834,100,4/21,4/21,28.34,6.96,24.4,1,0,0
