,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,34,5,54,18,0,-,-,-,2.00,-,0,0,0
ODIs,128,-,-,-,-,-,-,-,-,-,-,-,-
T20Is,50,-,-,-,-,-,-,-,-,-,-,-,-
First-class,121,,298,142,3,2/30,2/30,47.33,2.85,99.3,0,0,0
List A,242,,272,249,9,2/22,2/22,27.66,5.49,30.2,0,0,0
T20s,231,6,48,66,4,1/7,1/7,16.50,8.25,12.0,0,0,0
