,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
T20Is,1,-,-,-,-,-,-,-,-,-,-,-,-
First-class,17,29,1355,783,33,6/32,8/82,23.72,3.46,41.0,0,1,0
List A,18,13,335,265,5,2/34,2/34,53.00,4.74,67.0,0,0,0
T20s,9,1,6,15,0,-,-,-,15.00,-,0,0,0
