,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,22,40,5103,2715,76,5/71,7/72,35.72,3.19,67.1,2,1,0
ODIs,36,34,1917,1511,64,6/48,6/48,23.60,4.72,29.9,2,2,0
T20Is,10,10,228,240,16,3/24,3/24,15.00,6.31,14.2,0,0,0
First-class,152,,30843,15608,535,6/66,,29.17,3.03,57.6,,21,1
List A,144,,7426,5681,242,6/13,6/13,23.47,4.59,30.6,7,6,0
T20s,208,207,4366,5237,239,5/17,5/17,21.91,7.19,18.2,4,2,0
