,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,9,-,-,-,-,-,-,-,-,-,-,-,-
ODIs,5,-,-,-,-,-,-,-,-,-,-,-,-
T20Is,15,-,-,-,-,-,-,-,-,-,-,-,-
First-class,32,1,12,9,1,1/9,1/9,9.00,4.50,12.0,0,0,0
List A,41,-,-,-,-,-,-,-,-,-,-,-,-
T20s,72,-,-,-,-,-,-,-,-,-,-,-,-
